alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_1080Lines,coverage_1400Ripples,coverage_Air_Compressor,coverage_Blip,coverage_Chirp,coverage_Extremely_Loud,coverage_Helix,coverage_Koi_Fish,coverage_Light_Modulation,coverage_Low_Frequency_Burst,coverage_Low_Frequency_Lines,coverage_No_Glitch,coverage_None_of_the_Above,coverage_Paired_Doves,coverage_Power_Line,coverage_Repeating_Blips,coverage_Scattered_Light,coverage_Scratchy,coverage_Tomte,coverage_Violin_Mode,coverage_Wandering_Line,coverage_Whistle,setsize_1080Lines,setsize_1400Ripples,setsize_Air_Compressor,setsize_Blip,setsize_Chirp,setsize_Extremely_Loud,setsize_Helix,setsize_Koi_Fish,setsize_Light_Modulation,setsize_Low_Frequency_Burst,setsize_Low_Frequency_Lines,setsize_No_Glitch,setsize_None_of_the_Above,setsize_Paired_Doves,setsize_Power_Line,setsize_Repeating_Blips,setsize_Scattered_Light,setsize_Scratchy,setsize_Tomte,setsize_Violin_Mode,setsize_Wandering_Line,setsize_Whistle
0.696,0.308069,0.426387,0.496021,0.289029,0.308069,0.00895,0.279449,0.300525,0.286509,0.29396,0.322581,0.278296,0.340395,0.313699,0.288832,0.314171,0.288158,0.308804,0.305851,0.338645,0.303618,0.325676,0.314548,0.324693,0.315291,0.310992,0.315972,0.313413,0.317043,0.33727,0.47427,0.515436,1.014785,0.467377,0.577684,0.358904,0.790757,0.379679,0.309211,0.445466,0.331117,0.65073,0.329457,0.682432,0.336828,0.409277,0.806495,0.447721,0.494792,0.458167
0.7156,0.287131,0.408611,0.442819,0.273785,0.287131,0.007414,0.256892,0.290026,0.264256,0.268456,0.298387,0.23968,0.313559,0.293151,0.272144,0.298128,0.265789,0.291721,0.287234,0.305445,0.288114,0.316216,0.305374,0.305593,0.288227,0.293566,0.276042,0.300133,0.278195,0.313648,0.410292,0.473826,0.892473,0.383489,0.507062,0.336986,0.713736,0.359626,0.285526,0.399474,0.304521,0.572377,0.308786,0.614865,0.322412,0.377899,0.687415,0.382038,0.421875,0.409031
0.7352,0.267479,0.391134,0.39176,0.258602,0.267479,0.005918,0.234336,0.267717,0.23783,0.252349,0.27957,0.227696,0.279661,0.256164,0.259307,0.274064,0.251316,0.277267,0.268617,0.289509,0.267442,0.309459,0.275229,0.293315,0.269283,0.27882,0.25,0.284197,0.24812,0.28084,0.344924,0.418792,0.775538,0.339547,0.436441,0.290411,0.609756,0.322193,0.268421,0.340342,0.280585,0.504648,0.288114,0.554054,0.289646,0.354707,0.594046,0.347185,0.362847,0.37583
0.7548,0.245072,0.368204,0.348108,0.238888,0.245072,0.004907,0.20802,0.245407,0.212796,0.233557,0.258065,0.209055,0.261299,0.235616,0.24647,0.254011,0.221053,0.257556,0.260638,0.26162,0.25323,0.267568,0.242464,0.257844,0.255751,0.254692,0.230903,0.262948,0.216792,0.253281,0.293463,0.387919,0.663978,0.300932,0.392655,0.264384,0.540436,0.290107,0.234211,0.299606,0.271277,0.435591,0.27261,0.486486,0.256881,0.308322,0.538566,0.300268,0.319444,0.337317
0.7744,0.226215,0.348337,0.309783,0.221685,0.226215,0.003979,0.196742,0.233596,0.196106,0.206711,0.235215,0.185087,0.233051,0.220548,0.227214,0.22861,0.206579,0.253614,0.242021,0.252324,0.22093,0.240541,0.218873,0.244202,0.242219,0.226542,0.215278,0.249668,0.204261,0.240157,0.248957,0.34094,0.540323,0.262317,0.350282,0.246575,0.469833,0.263369,0.217105,0.279895,0.25,0.394422,0.235142,0.418919,0.231979,0.291951,0.473613,0.262735,0.293403,0.305445
0.794,0.204788,0.323572,0.273968,0.20191,0.204788,0.003294,0.18797,0.208661,0.182197,0.190604,0.204301,0.171771,0.214689,0.205479,0.200257,0.195187,0.192105,0.232589,0.212766,0.232404,0.198966,0.221622,0.192661,0.219645,0.220568,0.199732,0.199653,0.22178,0.194236,0.215223,0.214186,0.312752,0.447581,0.231691,0.312147,0.228767,0.404365,0.225936,0.198684,0.249671,0.216755,0.358566,0.213178,0.371622,0.205767,0.261937,0.414073,0.229223,0.260417,0.265604
0.8136,0.183727,0.298113,0.237419,0.181952,0.183727,0.002557,0.172932,0.181102,0.164117,0.165101,0.197581,0.149134,0.19209,0.186301,0.183569,0.17246,0.177632,0.211564,0.18617,0.207171,0.178295,0.201351,0.167759,0.195089,0.185386,0.180965,0.173611,0.211155,0.177945,0.187664,0.187761,0.280537,0.340054,0.197071,0.265537,0.208219,0.34018,0.197861,0.182895,0.22339,0.19016,0.305445,0.191214,0.317568,0.179554,0.230559,0.343708,0.206434,0.225694,0.247012
0.8332,0.162667,0.271118,0.203686,0.162116,0.162667,0.001953,0.14411,0.158793,0.148818,0.15302,0.177419,0.14514,0.168079,0.175342,0.160462,0.15107,0.144737,0.178712,0.163564,0.188579,0.158915,0.177027,0.146789,0.169168,0.165088,0.154155,0.15625,0.193891,0.14787,0.161417,0.16968,0.249664,0.264785,0.175766,0.225989,0.194521,0.28113,0.169786,0.148684,0.190539,0.167553,0.265604,0.166667,0.272973,0.157274,0.200546,0.281461,0.172922,0.201389,0.220452
0.8528,0.143933,0.244645,0.178707,0.143688,0.143933,0.001656,0.129073,0.128609,0.127955,0.14094,0.16129,0.12783,0.155367,0.152055,0.136072,0.137701,0.136842,0.1682,0.138298,0.169987,0.143411,0.158108,0.098296,0.151432,0.156969,0.142091,0.140625,0.167331,0.132832,0.131234,0.146036,0.226846,0.227151,0.149134,0.207627,0.164384,0.240051,0.15508,0.139474,0.180026,0.142287,0.236388,0.148579,0.248649,0.107471,0.180082,0.253045,0.156836,0.171875,0.191235
0.8724,0.124281,0.216669,0.149014,0.124281,0.124281,0.001178,0.112782,0.104987,0.114047,0.127517,0.123656,0.113182,0.135593,0.139726,0.1181,0.106952,0.111842,0.141919,0.12766,0.150066,0.113695,0.148649,0.094364,0.124147,0.135318,0.131367,0.119792,0.14077,0.115288,0.107612,0.123783,0.183893,0.165323,0.129161,0.172316,0.147945,0.198973,0.11631,0.113158,0.151117,0.128989,0.199203,0.117571,0.214865,0.103539,0.150068,0.20433,0.13941,0.144097,0.155378
0.892,0.104139,0.185273,0.122934,0.104139,0.104139,0.000895,0.092732,0.094488,0.105702,0.111409,0.108871,0.094541,0.100282,0.120548,0.098845,0.092246,0.094737,0.128778,0.110372,0.132802,0.103359,0.114865,0.06291,0.070941,0.124493,0.104558,0.100694,0.123506,0.095238,0.097113,0.109875,0.147651,0.138441,0.107856,0.132768,0.124658,0.159178,0.096257,0.094737,0.135348,0.110372,0.177955,0.107235,0.17027,0.069463,0.088677,0.17862,0.11126,0.121528,0.132802
0.9116,0.082588,0.150504,0.097037,0.082588,0.082588,0.000688,0.070175,0.068241,0.089013,0.084564,0.08871,0.053262,0.087571,0.09726,0.073171,0.07754,0.076316,0.09724,0.091755,0.108898,0.082687,0.102703,0.035387,0.070941,0.109608,0.076408,0.086806,0.092961,0.072682,0.069554,0.091794,0.111409,0.106183,0.062583,0.111582,0.10137,0.123235,0.078877,0.076316,0.102497,0.091755,0.142098,0.082687,0.15,0.040629,0.081855,0.155616,0.08311,0.104167,0.10093
0.9312,0.065691,0.122431,0.073344,0.065691,0.065691,0.000364,0.066416,0.055118,0.065369,0.067114,0.057796,0.045273,0.073446,0.078082,0.056483,0.058824,0.055263,0.068331,0.074468,0.088977,0.062016,0.072973,0.035387,0.070941,0.100135,0.058981,0.069444,0.067729,0.068922,0.055118,0.066759,0.073826,0.06586,0.047936,0.088983,0.078082,0.086008,0.058824,0.055263,0.072273,0.074468,0.108898,0.062016,0.104054,0.040629,0.076398,0.11908,0.065684,0.079861,0.069057
0.9508,0.045304,0.086269,0.048855,0.045304,0.045304,0.000169,0.04386,0.036745,0.052851,0.049664,0.040323,0.035952,0.053672,0.056164,0.038511,0.048128,0.043421,0.044678,0.051862,0.066401,0.016796,0.05,0.035387,0.0,0.08525,0.049598,0.053819,0.047809,0.046366,0.036745,0.054242,0.051007,0.045699,0.035952,0.05791,0.056164,0.053915,0.048128,0.043421,0.047306,0.051862,0.081009,0.016796,0.060811,0.039318,0.004093,0.087957,0.053619,0.059028,0.047809
0.9704,0.026448,0.051518,0.028285,0.026448,0.026448,8.7e-05,0.021303,0.027559,0.029207,0.030872,0.025538,0.013316,0.033898,0.036986,0.021823,0.024064,0.028947,0.027595,0.033245,0.038513,0.016796,0.02973,0.0,0.0,0.046008,0.030831,0.034722,0.034529,0.022556,0.027559,0.030598,0.030872,0.02957,0.013316,0.035311,0.036986,0.030809,0.024064,0.028947,0.027595,0.033245,0.049137,0.016796,0.02973,0.002621,0.002729,0.047361,0.032172,0.039931,0.034529
0.99,0.009245,0.018412,0.009673,0.009245,0.009245,2e-05,0.003759,0.01706,0.009736,0.01745,0.010753,0.010652,0.021186,0.006849,0.008986,0.006684,0.006579,0.007884,0.011968,0.018592,0.0,0.008108,0.0,0.0,0.012179,0.014745,0.012153,0.0,0.003759,0.01706,0.009736,0.01745,0.010753,0.010652,0.021186,0.006849,0.014121,0.006684,0.006579,0.007884,0.011968,0.021248,0.0,0.008108,0.0,0.0,0.012179,0.014745,0.013889,0.0
