alpha,n_cal,qhat_1080Lines,qhat_1400Ripples,qhat_Air_Compressor,qhat_Blip,qhat_Chirp,qhat_Extremely_Loud,qhat_Helix,qhat_Koi_Fish,qhat_Light_Modulation,qhat_Low_Frequency_Burst,qhat_Low_Frequency_Lines,qhat_No_Glitch,qhat_None_of_the_Above,qhat_Paired_Doves,qhat_Power_Line,qhat_Repeating_Blips,qhat_Scattered_Light,qhat_Scratchy,qhat_Tomte,qhat_Violin_Mode,qhat_Wandering_Line,qhat_Whistle
0.01,16333,0.99664006195961996,0.99903842189814895,0.99999344714296967,0.99697622517123996,0.99999999855897692,0.99639711785130003,0.99999999786827365,0.99555741762742,0.99999999875848322,0.99972828337922703,0.9999890722838245,0.99984526698244702,0.48102402687072798,0.99999995945585596,0.99999999975870324,0.99999222208316496,0.999896405817708,0.99999860277091557,0.99997079480453976,0.9999985270291063,0.9999999986084539,0.99990838874509791
0.029600000000000001,16333,0.79590369761000002,0.99503809027374002,0.9999587544662063,0.97175000049170002,0.99999998316827821,0.98176342062650002,0.99999994808466397,0.98505008779470005,0.99999909679166876,0.99640357564202997,0.99762547854334005,0.99894888536073001,0.3529314398765564,0.99999790653782838,0.99999997247555328,0.99994778929976746,0.99932384892599702,0.99996980456126039,0.99966001985012598,0.99998607877751056,0.99999994748061738,0.99924726237077299
0.049200000000000001,16333,0.49256545305300004,0.98236365430060002,0.99991508762468584,0.88667573779800002,0.99999993233468842,0.96220561861989995,0.99999979609671641,0.97488997876640004,0.99999523061796936,0.99342101486400003,0.98177623935040004,0.99813276634086001,0.29147213697433505,0.99999503045410165,0.99999965352586173,0.99978535779518996,0.99835986399556997,0.99986068090947799,0.99900175491347898,0.99995653758378467,0.99999988917407023,0.99751311144791999
0.0688,16333,0.32595431804700004,0.95322839915750002,0.99975837003148604,0.69758722186099997,0.99999982466823667,0.898157291114,0.99999966251408523,0.95973782986400002,0.99998263006273191,0.99022479169070998,0.94783578068020002,0.99635755596681996,0.24884164333343495,0.99998774631785636,0.99999815862099695,0.99955622712150205,0.99697030778043005,0.99960537403239902,0.99700085120276005,0.99990960575814825,0.99999986088970161,0.99374895589426004
0.088399999999999992,16333,0.22763013839699997,0.91281078755860001,0.99946896667825103,0.53122302889799999,0.99999968938018924,0.83587144315200002,0.99999926559502228,0.9441736079752,0.99994336908639525,0.98781364224849999,0.84787471592399999,0.99264801759273003,0.21546196937561002,0.99997776662530669,0.99998598377169401,0.99919847730779998,0.99482853244989999,0.99910159653518305,0.99448214937001,0.99986625697056297,0.9999996958116526,0.97891548089680003
0.10000000000000001,16333,0.17000776529299999,0.87375849485400003,0.99914278928190503,0.43145948648499999,0.99999960180034009,0.74915662407899997,0.99999897391830928,0.93206387758260001,0.99992222599394154,0.98503475263710005,0.74676650762599994,0.98902153782549995,0.20480501651763905,0.9999673333913961,0.99995876439061249,0.99878631264437001,0.99307173863053,0.99828946916385997,0.99195834528655003,0.99981620581820596,0.99999955371492888,0.96311017870899995
0.108,16333,0.15669500827799998,0.842980846763,0.99895318329799998,0.380511522293,0.9999995422936081,0.70946437120400008,0.99999860824402731,0.92044734954829999,0.99990809606242692,0.98356427066030006,0.67008519172699998,0.98649133089929997,0.19331020116805997,0.99995643304646364,0.99983643747691497,0.9981968391221,0.99163898639380998,0.99696654337458002,0.99041343200952003,0.99977681270684104,0.99999937792716764,0.95215810090300002
0.12759999999999999,16333,0.11090463399899997,0.70820137858400001,0.99821681226603998,0.29043859243400005,0.99999933650082085,0.60062584280999998,0.9999976563697146,0.89509338140499994,0.999856852198718,0.97876087762420005,0.52602797746700003,0.97748147696260002,0.16852700710296598,0.99992063920944929,0.99905745871365104,0.99667474464512995,0.98074277862909998,0.98887908086179999,0.98519180901350001,0.99967623909469705,0.99999904329104083,0.78721740841900001
0.1472,16333,0.078249990939999958,0.57500189542800006,0.99725442868656999,0.23483628034600001,0.99999903343086771,0.51894631981799999,0.99999614812668369,0.86309288442099996,0.99978352803736903,0.97365827672180005,0.39744669199000005,0.96750207245349995,0.14809828996658303,0.99986458726925798,0.99532385403290002,0.99259073706344003,0.87807723134799998,0.93768856674430001,0.97928314283490003,0.99945581832435004,0.9999981503295885,0.47088164091100004
0.1668,16333,0.057026505469999988,0.49857532978100005,0.99623647541739002,0.18165189027799999,0.99999871567763421,0.46419376134900003,0.99999329680304072,0.81783276796299997,0.99964718284900311,0.97063267230990002,0.29207706451399995,0.95397565141319995,0.12920361757278398,0.99980982283886988,0.98824582342059997,0.98932116292420003,0.30463719367999997,0.67767438292500004,0.96800434961920001,0.99932322168024301,0.99999742806176073,0.31072056293500006
0.18640000000000001,16333,0.048394799231999963,0.44147777557400003,0.99305075965821998,0.13242232799499998,0.99999802299930707,0.38157683610899995,0.99999102179208421,0.72745323181199995,0.99948971596313596,0.9600125476718,0.21466535329799996,0.94213418662549997,0.11355191469192505,0.99975737713975843,0.95732278004290006,0.98484286759049999,0.06492066383399997,0.49907130003,0.95789858698840002,0.99908844911260497,0.99999631830814906,0.16445863246900005
0.20600000000000002,16333,0.036594629287999947,0.34997487068199995,0.99025285616517,0.099348008632999973,0.99999765857637612,0.30819135904299999,0.99998865876568743,0.65028792619700004,0.999269653344527,0.94987784698610001,0.17190623283399997,0.91741094738249995,0.092318415641785001,0.99963565578218505,0.90921311825509998,0.9793061949313,0.019269704819000033,0.21879523992500005,0.94517184793950004,0.99876504484563999,0.99999536681889367,0.11456525325800004
0.22559999999999999,16333,0.02570271491999998,0.28254890441900005,0.98777006193995476,0.07590699195899997,0.99999679169422961,0.27469217777300003,0.99998382552075782,0.52791032195099996,0.99900346260983497,0.94420616701250004,0.13672453165099996,0.9027572274208,0.081128239631653054,0.9995298468566034,0.77320851385599998,0.96828585490579999,0.0094632506370000424,0.089012026787000043,0.92904453724619995,0.99832498526666003,0.99999422772134494,0.063562512398000037
0.2452,16333,0.018818259239000046,0.20073330402400003,0.98442879039789999,0.052007257937999984,0.99999550552092842,0.22531485557599995,0.99997968167735962,0.43702274560900001,0.99867031804751605,0.93500124663109996,0.11210745573000003,0.88575979322200005,0.06826961040496804,0.99923911021323897,0.67463991046000005,0.95709319785239999,0.0045221447940000381,0.06111806631100003,0.91104121506210001,0.99797457875684004,0.99999259162314047,0.040011703968000023
0.26479999999999998,16333,0.015568137168999963,0.14641612768199996,0.97668165341019997,0.043657481670000053,0.99999403217816507,0.18783742189399999,0.99997299895585456,0.34277760982500005,0.99817487236578017,0.91675319522620002,0.10215497016899999,0.859930381179,0.064363420009613037,0.99901343591045599,0.47863739728900001,0.94583660364150002,0.0027164220809999806,0.039165377617000008,0.900741584599,0.99711633007973,0.99999097155250638,0.024500072001999995
0.28439999999999999,16333,0.012872636317999953,0.121796965599,0.96741136908531189,0.038090407847999996,0.99999235362247418,0.16705530881899999,0.99995848361140816,0.283887565136,0.99735671677626669,0.88960663229199999,0.086503088474000012,0.82269851863400001,0.058725953102112038,0.99849805620033005,0.253276586533,0.92803281545640004,0.0014956593510000449,0.022612869739999986,0.87498176097900004,0.99647851195185999,0.99998818063068029,0.015386283397999967
0.30399999999999999,16333,0.0093072652819999879,0.096978068351999958,0.95926377177238464,0.030652999877999965,0.99999025594752311,0.14524787664399996,0.99993464946601307,0.20851993560799997,0.99666344653814998,0.87029880285299999,0.07410275936099997,0.78719712793800001,0.055819332599640004,0.9980568258324638,0.094545006751999949,0.90921672433610001,0.00091302394899994699,0.010569691658000036,0.85718658566500006,0.99547990830614996,0.99998521501584037,0.0096910595889999618
0.3236,16333,0.0078014731409999927,0.070784807205000022,0.93301361054179999,0.02812600135800003,0.99998800229604967,0.13132023811299998,0.99991437015705742,0.16340273618699996,0.99590018065646302,0.83377790451,0.066616535186999948,0.72868674993500004,0.050758004188537598,0.9972793881315738,0.044596254826000048,0.87647552043200005,0.00059467554100001152,0.0065548419950000048,0.83532340824599993,0.99388305982574998,0.9999803986884217,0.0058377981189999817
0.34320000000000001,16333,0.0061787962910000438,0.057795226574000047,0.91894838958978653,0.024011671542999991,0.99998445209712372,0.11199927330000004,0.99988269559253196,0.12395936250700001,0.99438545433804004,0.78650313615799994,0.05808871984499997,0.700994968414,0.04616576433181796,0.99689863971434545,0.026502251624999973,0.83981339633499996,0.00044476985899999377,0.0045249462130000362,0.806814014912,0.99155293218790996,0.99997301440453157,0.0042819380759999692
0.36280000000000001,16333,0.0049484372139999566,0.048072397708999959,0.87302325666000002,0.018770396709000048,0.99998082562706259,0.10038560628899995,0.99984446252346981,0.097714722156999945,0.99313829327002001,0.75072506070099998,0.052135527134000048,0.66461670398700001,0.042070269584655984,0.99573532585054636,0.011079907417000046,0.79405502974999997,0.0003122091289999851,0.0026811957360000083,0.77108223736299997,0.9892865316942,0.99996336433105171,0.0031041502949999966
0.38240000000000002,16333,0.0038959383959999982,0.041912972927000025,0.83482491970100003,0.016672134398999949,0.99997660117878695,0.090911984443999949,0.99982068236568,0.079822301864999945,0.99060486257075997,0.70793288946200006,0.044743835925999953,0.63034227490399997,0.037449181079864946,0.99476438900455999,0.0050981044769999873,0.75973033904999998,0.00023537874199996978,0.0015227794650000126,0.73502010106999993,0.98562974948439996,0.99995514810507302,0.0021580457690000276
0.40200000000000002,16333,0.0029781460759999989,0.033352673054000026,0.77908891439399997,0.013687551022000033,0.99996994479079149,0.080531895161000011,0.99978558589646105,0.06303411722200003,0.9866331871599,0.65700191259399998,0.038040816783999953,0.589745551348,0.033189713954925981,0.99289669655263002,0.003079235554000026,0.71982795000100008,0.00017160177200004068,0.00063991546599995175,0.71155041456199997,0.97977305017409999,0.99994939603129751,0.0016641616820000094
0.42159999999999997,16333,0.0024040341380000552,0.027359426022000033,0.726631969213,0.011056244373000013,0.99996054060466122,0.073219180107000015,0.99971226407797076,0.044958055018999965,0.98216681927442551,0.595645040274,0.034582316875000019,0.56572109460800002,0.030693292617797963,0.98960887081921101,0.0018371343609999702,0.66116401553199999,0.0001276135440000381,0.00038963556299997926,0.68286728858899992,0.96773859858510003,0.99993221871409332,0.0013685226440000031
0.44119999999999998,16333,0.0021014213559999995,0.023089110850999961,0.61441761255264304,0.0097830891610000137,0.99995283739917795,0.066433072090000045,0.99965940671972897,0.032291114329999981,0.97855451516809999,0.53915411233900001,0.031122982501999963,0.54031410813300007,0.027282834053039995,0.98566058743745089,0.00081861019100004651,0.62583997845600003,0.000100553035999984,0.00025165081000000367,0.66173291206399998,0.9543552137911,0.9999216672804323,0.0010753273960000254
0.46079999999999999,16333,0.0016681551930000094,0.020053625107000039,0.49431759119033802,0.0088051557539999825,0.99994590896676527,0.061196982860999949,0.99956218816805598,0.024137377739000043,0.97233695909380913,0.48333895206499999,0.028857052325999999,0.49698179960300004,0.025811553001404031,0.98088930174709998,0.0005592703819999878,0.54218018054999995,7.3373317999947396e-05,0.0001667737960000526,0.62837529182399998,0.93423788249490003,0.99990777397761121,0.0007590651509999935
0.48039999999999999,16333,0.0014138221739999901,0.017626285553000054,0.371129751205444,0.0079860687260000507,0.99993417023506481,0.057307243346999992,0.99941729754209518,0.016264200210999946,0.9607085026801,0.41925746202500003,0.025977730750999961,0.454253852367,0.023858904838562012,0.97605491243300002,0.0003598928450000427,0.50013613700900006,5.6922435999973153e-05,0.00011163950000003808,0.59301257133500007,0.90638887882230001,0.99988686908909585,0.00060009956399997844
0.5,16333,0.0011925697329999707,0.015936195849999946,0.32752698659900004,0.007006585598000048,0.99991702814440941,0.05246216058700004,0.99931680946610868,0.011165022849999984,0.94422805681819999,0.36423188447999999,0.02330434322399999,0.40628498792599999,0.022116065025330034,0.96858385950329995,0.00018697977100001761,0.46374529600100001,4.5895575999987948e-05,7.1823596999975869e-05,0.565432608128,0.83442907035400005,0.99985774169908836,0.00053304433800005491
